id,state,stateAbbr,divorced,incomeAbove50k,obese,internet,employed,femaleHouseKids
1,Alaska,AK,12.3,55.6,29.7,75.6,43.6,18.1
2,Alabama,AL,12.1,38.8,33.5,89.9,55.5,16.3
3,Arkansas,AR,12.6,32.9,35.9,82.7,49.1,20.6
4,Arizona,AZ,11.8,40.8,28.9,82.6,49.1,19.5
5,California,CA,9.6,44.6,24.7,82.9,44.2,19.7
6,Colorado,CO,11.7,53,21.3,77.3,42.6,15.7
7,Connecticut,CT,10.8,56.5,26.3,80.6,45,19.9
8,District of Columbia,DC,9.1,53.7,21.7,86.9,51.6,19.9
9,Delaware,DE,11.5,48.4,30.7,83.7,51.3,16.7
10,Florida,FL,12.5,40.1,26.2,81.5,52.9,17.5
11,Georgia,GE,11.2,41.5,30.5,84.6,52.5,20
12,Hawaii,HI,9.7,49.1,22.1,81.9,40.5,19.5
13,Iowa,IW,11,47.7,30.9,80.5,48.1,21.4
14,Idaho,ID,12.3,41.9,28.9,80.4,51.5,17.9
15,Illinois,IL,9.6,48.1,29.3,86.1,48.2,19.5
16,Indiana,IN,12.2,41.3,32.7,81.8,49.4,20.7
17,Kansas,KS,11.5,45.9,31.3,80.7,49.1,18.5
18,Kentucky,KY,13.8,37.4,31.6,83.2,52.7,17.4
19,Louisiana,LA,11.9,40.8,34.9,83.9,51.4,20.3
20,Massachusetts,MA,9.9,54,23.3,78.7,45,17.7
21,Maryland,MD,9.4,58,29.6,77,46.7,18.2
22,Maine,ME,13.7,42.9,28.2,84.8,46.8,16.9
23,Michigan,MI,11.9,44.7,30.7,84.5,54.9,17.7
24,Minnesota,MN,10.3,53.6,27.6,85.3,49.7,18
25,Missouri,MO,12.1,44.5,30.2,83,44.8,20
26,Mississippi,MS,12.5,30.5,35.5,86.8,56.3,17
27,Montana,MT,12.7,41.4,26.4,70.4,44.9,16.2
28,North Carolina,NC,10.4,40,29.7,81.5,49,17.2
29,North Dakota,ND,9.1,51.8,32.2,83,46.5,21.9
30,Nebraska,NE,10.4,46.6,30.2,83.6,53.8,15
31,New Hampshire,NH,11.7,55.8,27.4,82.1,48.2,16.7
32,New Jersey,NJ,8.4,55.9,26.9,89.1,52.3,20.7
33,New Mexico,NM,12.6,34.6,28.4,82.9,52.9,18.9
34,Nevada,NV,14,44,27.7,76.4,45,17.9
35,New York,NY,9.3,45.9,27,80,46.3,20.7
36,Ohio,OH,11.5,44,32.6,78.5,48.1,18.3
37,Oklahoma,OK,12.8,40.2,33,82.6,55,19.6
38,Oregon,OR,12.5,43.4,27.9,82.7,49.3,17.1
39,Pennsylvania,PA,9.6,47.1,30.2,79.6,48.1,16.9
52,Puerto Rico,PR,12.7,7.9,28.3,73.2,43.3,16
40,Rhode Island,RI,11.4,49.1,27,87.2,44.4,19.2
41,South Carolina,SC,10.4,37.7,32.1,80.6,48.4,21.4
42,South Dakota,SD,10.7,45.2,29.8,56.2,29,17.3
43,Tennessee,TN,11.9,37.2,31.2,83.1,51.4,18.1
44,Texas,TX,10.1,42.4,31.9,77.3,47.1,19.9
45,Utah,UT,9.3,51.5,25.7,81.5,52.3,18.3
46,Virginia,VI,10.3,52.1,28.5,78.1,45.8,18
47,Vermont,VT,12.5,48.2,24.8,79.1,48.9,17.7
48,Washington,WA,11.7,51.9,27.3,89.4,55.3,19
49,Wisconsin,WI,10.6,46.6,31.2,86,52,18.6
50,West Virginia,WV,13.5,35.3,35.7,84,54,16.2
51,Wyoming,WY,11.9,50.7,29.5,87.4,50.3,13.1
53,All States and DC (median) **,US+,11.5,45.2,29.6,83.5,53.7,18.3
54,"All States, DC and Territories (median) **",US++,11.5,44.7,29.5,84.3,51.3,18.25
